K,Cost
5,2284.4438699786283
6,2210.0692712798327
7,2203.408418949346
8,2185.7484007852545
9,2157.617018404256
10,2143.025212116215
11,2089.344914948509
12,2084.0960374212273
13,2099.7824955604924
14,2051.0342996866793
15,2066.003731770824
