cluster,,车型
2,途岳,
2,奔驰GLC,
2,奥迪Q5L,
3,秦PLUS,
3,海豹05 DM-i,
3,小鹏MONA M03,
3,海鸥,
3,宏光MINIEV,
3,AION RT,
3,海豚,
3,AION S,
3,腾势D9,
3,别克GL8新能源,
3,熊猫,
3,五菱宏光S,
3,五菱宏光V,
3,赛那SIENNA,
3,传祺M8,
3,格瑞维亚,
3,五菱宏光新能源,
3,别克GL8,
3,传祺M6,
3,长安CS75 PLUS,
3,本田CR-V,
3,探岳,
3,星越L,
3,博越L,
3,缤越,
3,捷途X70,
3,RAV4荣放,
3,锋兰达,
3,皓影,
3,逸动,272 (9.2%)
3,帝豪,196 (6.6%)
3,速腾,184 (6.2%)
3,朗逸,171 (5.8%)
3,艾瑞泽8,166 (5.6%)
3,星瑞,159 (5.4%)
3,宝来,143 (4.8%)
3,银河L6,124 (4.2%)
3,荣威i5,113 (3.8%)
3,思域,83 (2.8%)
3,亚洲龙,
3,宝马3系,
3,红旗H5,
3,雅阁,
3,奔驰C级,
3,君威,
3,君越,
3,奥迪A4L,
3,天籁,
3,凯迪拉克CT5,
3,帕萨特,
3,星愿,
3,五菱缤果,
3,迈腾,
3,长安Lumin,
3,红旗E-QM5,
3,秦L,
3,海豹06新能源,
3,海豹06GT,
3,Model 3,
3,阿维塔06,
3,海豹07 DM-i,
3,极氪007GT,
3,深蓝L07,
3,蔚来ET5T,
3,Model Y,
3,小米SU7,
3,理想L6,
3,宋PLUS新能源,
3,问界M9,
3,理想L7,
3,宋Pro新能源,
3,宋L DM-i,
3,元UP,
3,元PLUS,
3,海狮05 EV,
3,深蓝S05,
3,问界M8,
3,汉兰达,
3,轩逸,
3,卡罗拉,
3,奥迪A3,
3,汉,
3,汉L,
3,小鹏P7+,
3,享界S9,
3,极氪001,
3,小米SU7 Ultra,
3,星纪元 ES,
3,阿维塔12,
3,奔驰E级新能源,
3,奥迪A6L,
3,宝马5系,
3,奔驰E级,
3,银河星耀8,
3,长安启源A07,
3,雷克萨斯ES,
3,日产N7,
3,银河E8,
3,奥迪A7L,
3,凯美瑞,
3,途观L,
3,卡罗拉锐放,
3,途岳,
3,奔驰GLC,
3,奥迪Q5L,
4,秦PLUS,
4,海豹05 DM-i,
4,小鹏MONA M03,
4,海鸥,
4,宏光MINIEV,
4,AION RT,
4,海豚,
4,AION S,
4,腾势D9,
4,别克GL8新能源,
4,熊猫,
4,五菱宏光S,
4,五菱宏光V,
4,赛那SIENNA,
4,传祺M8,
4,格瑞维亚,
4,五菱宏光新能源,
4,别克GL8,
4,传祺M6,
4,长安CS75 PLUS,
4,本田CR-V,
4,探岳,
4,星越L,
4,博越L,
4,缤越,
4,捷途X70,
4,RAV4荣放,
4,锋兰达,
4,皓影,
4,逸动,
4,帝豪,
4,速腾,
4,朗逸,
4,艾瑞泽8,
4,星瑞,
4,宝来,
4,银河L6,
4,荣威i5,
4,思域,
4,亚洲龙,158 (6.7%)
4,宝马3系,131 (5.6%)
4,红旗H5,121 (5.1%)
4,雅阁,110 (4.7%)
4,奔驰C级,107 (4.5%)
4,君威,100 (4.2%)
4,君越,90 (3.8%)
4,奥迪A4L,81 (3.4%)
4,天籁,79 (3.3%)
4,凯迪拉克CT5,69 (2.9%)
4,帕萨特,
4,星愿,
4,五菱缤果,
4,迈腾,
4,长安Lumin,
4,红旗E-QM5,
4,秦L,
4,海豹06新能源,
4,海豹06GT,
4,Model 3,
4,阿维塔06,
4,海豹07 DM-i,
4,极氪007GT,
4,深蓝L07,
4,蔚来ET5T,
4,Model Y,
4,小米SU7,
4,理想L6,
4,宋PLUS新能源,
4,问界M9,
4,理想L7,
4,宋Pro新能源,
4,宋L DM-i,
4,元UP,
4,元PLUS,
4,海狮05 EV,
4,深蓝S05,
4,问界M8,
4,汉兰达,
4,轩逸,
4,卡罗拉,
4,奥迪A3,
4,汉,
4,汉L,
4,小鹏P7+,
4,享界S9,
4,极氪001,
