cluster,上牌量
0,91.25128644939966
1,31.808673469387756
2,26.60244035694773
3,28.85391363022942
4,22.47966101694915
5,74.39160839160839
6,155.41970802919707
7,58.52788104089219
8,662.2236286919831
9,43.72987103520391
10,130.09078590785907
11,50.05354919053549
12,46.59440559440559
13,117.25845564773452
