cluster,,城市
8,乌鲁木齐,
8,哈尔滨,
9,重庆,
9,杭州,52 (0.9%)
9,南京,51 (0.9%)
9,郑州,52 (0.9%)
9,深圳,
9,宁波,51 (0.9%)
9,上海,53 (0.9%)
9,石家庄,
9,苏州,
9,合肥,
9,贵阳,
9,武汉,
9,昆明,
9,北京,55 (1.0%)
9,无锡,
9,天津,51 (0.9%)
9,济南,
9,成都,
9,西安,56 (1.0%)
9,长沙,50 (0.9%)
9,衡水,
9,沈阳,
9,鞍山,
9,青岛,
9,台州,
9,佛山,
9,广州,
9,常州,67 (1.2%)
9,保定,
9,烟台,
9,东莞,
9,乌鲁木齐,
9,哈尔滨,
10,重庆,
10,杭州,14 (1.9%)
10,南京,
10,郑州,13 (1.8%)
10,深圳,14 (1.9%)
10,宁波,
10,上海,
10,石家庄,
10,苏州,14 (1.9%)
10,合肥,
10,贵阳,
10,武汉,
10,昆明,
10,北京,11 (1.5%)
10,无锡,
10,天津,14 (1.9%)
10,济南,
10,成都,14 (1.9%)
10,西安,10 (1.4%)
10,长沙,
10,衡水,
10,沈阳,
10,鞍山,
10,青岛,
10,台州,
10,佛山,
10,广州,87 (11.8%)
10,常州,
10,保定,10 (1.4%)
10,烟台,
10,东莞,
10,乌鲁木齐,
10,哈尔滨,
11,重庆,
11,杭州,14 (1.7%)
11,南京,14 (1.7%)
11,郑州,
11,深圳,16 (2.0%)
11,宁波,
11,上海,14 (1.7%)
11,石家庄,
11,苏州,13 (1.6%)
11,合肥,14 (1.7%)
11,贵阳,
11,武汉,
11,昆明,
11,北京,15 (1.9%)
11,无锡,
11,天津,
11,济南,13 (1.6%)
11,成都,
11,西安,
11,长沙,13 (1.6%)
11,衡水,
11,沈阳,
11,鞍山,
11,青岛,
11,台州,
11,佛山,
11,广州,
11,常州,
11,保定,
11,烟台,31 (3.9%)
11,东莞,
11,乌鲁木齐,
11,哈尔滨,
12,重庆,19 (1.3%)
12,杭州,24 (1.7%)
12,南京,20 (1.4%)
12,郑州,17 (1.2%)
12,深圳,19 (1.3%)
12,宁波,
12,上海,19 (1.3%)
12,石家庄,
12,苏州,
12,合肥,17 (1.2%)
12,贵阳,
12,武汉,17 (1.2%)
12,昆明,
12,北京,25 (1.7%)
12,无锡,
12,天津,
12,济南,
12,成都,
12,西安,
12,长沙,
12,衡水,
12,沈阳,
12,鞍山,
12,青岛,
12,台州,
12,佛山,
12,广州,
12,常州,
12,保定,
12,烟台,
12,东莞,74 (5.2%)
