cluster,车型,proportion
0,速腾,0.011634506242905789
0,星越L,0.011492622020431328
0,长安CS75 PLUS,0.011492622020431328
0,星愿,0.011350737797956867
1,宋PLUS新能源,0.03421409214092141
1,秦L,0.03387533875338753
1,秦PLUS,0.03184281842818428
