车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
昊铂HL,深圳,11,SUV,26.98-31.98,燃油车,29.48,0
宏光MINIEV,白城,23,微型车,3.28-9.99,新能源,6.635,1
星途瑶光,重庆,14,SUV,14.98-20.68,燃油车,17.83,0
汉兰达,乌海,14,SUV,24.98-34.88,新能源,29.93,1
哈弗H6,聊城,31,SUV,9.89-14.69,燃油车,12.29,0
哈弗H6,营口,23,SUV,9.89-14.69,燃油车,12.29,0
五菱缤果,鸡西,17,小型车,5.68-8.88,燃油车,7.28,0
秦PLUS,沧州,226,紧凑型车,7.98-17.98,新能源,12.98,1
T-ROC探歌,深圳,107,SUV,15.89-17.87,燃油车,16.880000000000003,0
奔驰E级新能源,深圳,13,中大型车,52.19-53.86,新能源,53.025,1
奔腾小马,梅州,17,微型车,2.49-5.39,燃油车,3.94,0
君威,成都,59,中型车,15.98-17.58,燃油车,16.78,0
领克08 EM-P,西宁,22,SUV,18.58-24.88,燃油车,21.729999999999997,0
QQ冰淇淋,濮阳,42,微型车,2.99-5.69,燃油车,4.34,0
零跑B10,马鞍山,11,SUV,9.98-14.98,新能源,12.48,1
五菱荣光S,郑州,13,MPV,4.09-4.76,燃油车,4.425,0
捷达VS5,吕梁,18,SUV,8.79-12.19,燃油车,10.489999999999998,0
天籁,沈阳,40,中型车,17.98-23.98,燃油车,20.98,0
哈弗H6,阿克苏,25,SUV,9.89-14.69,燃油车,12.29,0
艾瑞泽8,江门,28,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
长安启源A05,郑州,105,紧凑型车,7.89-13.69,燃油车,10.79,0
哈弗枭龙MAX,沈阳,156,SUV,13.18-17.98,燃油车,15.58,0
奥迪Q4 e-tron,郑州,15,SUV,28.99-36.71,燃油车,32.85,0
帕萨特,齐齐哈尔,42,中型车,16.45-23.99,燃油车,20.22,0
秦L,大庆,141,中型车,9.98-15.38,新能源,12.68,1
奔驰GLC,芜湖,47,SUV,42.78-53.13,燃油车,47.955,0
零跑T03,常州,19,微型车,4.99-6.99,新能源,5.99,1
小米SU7,乌鲁木齐,138,中大型车,21.59-29.99,新能源,25.79,1
海豹06新能源,咸宁,28,中型车,9.98-13.98,新能源,11.98,1
别克GL8,泰州,22,MPV,23.29-47.39,燃油车,35.34,0
宋L DM-i,晋城,26,SUV,13.58-17.58,新能源,15.579999999999998,1
纳米01,昆明,36,小型车,6.58-13.98,燃油车,10.280000000000001,0
理想L7,台州,126,SUV,30.18-35.98,新能源,33.08,1
日产N7,常州,18,中大型车,11.99-14.99,燃油车,13.49,0
海豹06GT,宣城,15,中型车,13.68-18.68,新能源,16.18,1
奔驰G级AMG,上海,20,SUV,255.40-292.00,燃油车,273.7,0
探岳,白山,14,SUV,19.89-25.99,燃油车,22.939999999999998,0
北京BJ30,巴彦淖尔,16,SUV,9.99-13.69,燃油车,11.84,0
长安启源Q07,台州,38,SUV,12.98-17.18,燃油车,15.08,0
捷途X70,宁德,11,SUV,10.69-14.99,燃油车,12.84,0
长安欧尚X5 PLUS,庆阳,17,SUV,9.19-11.49,燃油车,10.34,0
长安Lumin,桂林,34,微型车,3.79-6.59,燃油车,5.1899999999999995,0
奔驰C级,南京,300,中型车,33.48-38.06,燃油车,35.769999999999996,0
卡罗拉锐放,阜阳,30,SUV,12.98-18.48,燃油车,15.73,0
威兰达,榆林,45,SUV,17.38-26.48,燃油车,21.93,0
唐新能源,商丘,20,SUV,17.98-26.98,新能源,22.48,1
星愿,滁州,116,小型车,6.88-9.78,燃油车,8.33,0
迈腾,绥化,43,中型车,17.49-24.69,燃油车,21.09,0
欧萌达,石家庄,17,SUV,10.99-12.99,燃油车,11.99,0
深蓝S05,济南,101,SUV,11.99-14.99,新能源,13.49,1
海豹05 DM-i,齐齐哈尔,19,紧凑型车,7.98-10.38,新能源,9.18,1
传祺E8,无锡,17,MPV,16.68-23.58,燃油车,20.13,0
银河L6,海口,23,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
哈弗大狗,淮安,11,SUV,11.99-16.79,燃油车,14.39,0
普拉多,天津,40,SUV,44.98-55.98,燃油车,50.48,0
蔚来ET5T,西安,92,中型车,29.80-35.60,新能源,32.7,1
汉兰达,郴州,15,SUV,24.98-34.88,新能源,29.93,1
雷克萨斯NX,合肥,26,SUV,31.88-54.88,燃油车,43.38,0
普拉多,东莞,34,SUV,44.98-55.98,燃油车,50.48,0
博越L,凉山,21,SUV,9.99-14.97,燃油车,12.48,0
海狮05 EV,盐城,66,SUV,11.78-13.78,新能源,12.78,1
Model 3,保定,44,中型车,23.19-33.95,新能源,28.57,1
小鹏MONA M03,广州,618,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
铂智3X,连云港,16,SUV,10.98-15.98,燃油车,13.48,0
揽巡,太原,88,SUV,24.29-32.59,燃油车,28.44,0
凡尔赛C5 X,保定,13,中型车,9.97-18.67,燃油车,14.32,0
元UP,晋中,42,SUV,9.68-11.98,新能源,10.83,1
宋PLUS新能源,西安,445,SUV,13.58-18.08,新能源,15.829999999999998,1
帕萨特,唐山,148,中型车,16.45-23.99,燃油车,20.22,0
海鸥,吕梁,90,小型车,6.98-8.58,新能源,7.78,1
奔驰E级,泉州,114,中大型车,44.72-59.98,燃油车,52.349999999999994,0
领睿,长沙,42,SUV,9.88-16.55,燃油车,13.215,0
途岳,常德,17,SUV,12.59-21.66,燃油车,17.125,0
铂智3X,衡水,12,SUV,10.98-15.98,燃油车,13.48,0
阿维塔07,阜阳,23,SUV,21.99-28.99,新能源,25.49,1
汉L,东莞,47,中大型车,20.98-27.98,新能源,24.48,1
红旗E-QM5,大连,24,中型车,12.18-23.98,燃油车,18.08,0
途岳,贵阳,69,SUV,12.59-21.66,燃油车,17.125,0
星愿,福州,254,小型车,6.88-9.78,燃油车,8.33,0
坦克500新能源,合肥,18,SUV,33.50-36.38,新能源,34.94,1
Model Y,莆田,40,SUV,26.35-31.35,新能源,28.85,1
红旗H6,邯郸,12,中型车,17.98-23.98,燃油车,20.98,0
缤越,青岛,70,SUV,6.68-10.38,燃油车,8.530000000000001,0
吉利ICON,东莞,11,SUV,9.69-12.99,燃油车,11.34,0
路虎卫士,泉州,13,SUV,68.80-171.60,燃油车,120.19999999999999,0
零跑C16,青岛,36,SUV,15.18-18.98,新能源,17.08,1
五菱缤果,文山,57,小型车,5.68-8.88,燃油车,7.28,0
宝马3系,滁州,30,中型车,29.99-39.99,燃油车,34.99,0
锋兰达,玉溪,23,SUV,12.58-18.48,燃油车,15.530000000000001,0
凯美瑞,苏州,408,中型车,17.18-25.98,燃油车,21.58,0
宝马X5,太原,28,SUV,61.50-83.00,燃油车,72.25,0
长安欧尚X5 PLUS,阳泉,11,SUV,9.19-11.49,燃油车,10.34,0
朗逸,通化,22,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
享界S9,北京,110,中大型车,30.98-44.98,新能源,37.98,1
小鹏MONA M03,宜昌,26,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
宝马i3,石家庄,20,中型车,35.39-41.39,燃油车,38.39,0
宏光MINIEV,绍兴,80,微型车,3.28-9.99,新能源,6.635,1
海豚,福州,52,小型车,9.98-12.98,新能源,11.48,1
奔驰C级,南昌,186,中型车,33.48-38.06,燃油车,35.769999999999996,0
智界R7,淮安,18,SUV,24.98-33.98,新能源,29.479999999999997,1
银河L7,绵阳,14,SUV,11.58-16.97,燃油车,14.274999999999999,0
荣威i5,庆阳,21,紧凑型车,6.89-9.09,燃油车,7.99,0
海狮05 DM-i,上海,28,SUV,10.28-14.28,新能源,12.28,1
传祺GS8,保定,48,SUV,15.98-24.68,燃油车,20.33,0
海狮05 EV,昆明,69,SUV,11.78-13.78,新能源,12.78,1
速腾,包头,36,紧凑型车,12.79-17.29,燃油车,15.04,0
领克900,南充,20,SUV,30.99-41.69,燃油车,36.339999999999996,0
五菱宏光V,惠州,79,MPV,4.31-5.45,燃油车,4.88,0
宝马3系,济宁,43,中型车,29.99-39.99,燃油车,34.99,0
奔驰GLC,铜仁,11,SUV,42.78-53.13,燃油车,47.955,0
宏光MINIEV,吉安,72,微型车,3.28-9.99,新能源,6.635,1
五菱宏光新能源,苏州,68,MPV,6.88-7.38,新能源,7.13,1
传祺E8,哈尔滨,38,MPV,16.68-23.58,燃油车,20.13,0
理想L7,珠海,34,SUV,30.18-35.98,新能源,33.08,1
途观L,厦门,74,SUV,18.68-26.68,燃油车,22.68,0
汉兰达,昆明,88,SUV,24.98-34.88,新能源,29.93,1
宋PLUS新能源,河池,13,SUV,13.58-18.08,新能源,15.829999999999998,1
极狐 阿尔法T5(ARCFOX αT5),烟台,13,SUV,11.98-19.98,燃油车,15.98,0
狮铂拓界,重庆,15,SUV,17.98-23.78,燃油车,20.880000000000003,0
别克GL8新能源,石家庄,89,MPV,24.99-41.99,新能源,33.49,1
海鸥,荆州,50,小型车,6.98-8.58,新能源,7.78,1
星瑞,邵阳,20,紧凑型车,9.97-14.57,燃油车,12.27,0
捷途旅行者,潍坊,33,SUV,13.99-23.99,燃油车,18.99,0
宋PLUS新能源,白城,13,SUV,13.58-18.08,新能源,15.829999999999998,1
长安Lumin,宣城,17,微型车,3.79-6.59,燃油车,5.1899999999999995,0
型格,贵港,14,紧凑型车,12.99-18.69,燃油车,15.84,0
速腾,曲靖,53,紧凑型车,12.79-17.29,燃油车,15.04,0
五菱缤果PLUS,重庆,21,SUV,7.58-9.88,燃油车,8.73,0
小海狮X30,安阳,15,MPV,3.49-5.19,燃油车,4.34,0
赛那SIENNA,湘潭,14,MPV,29.98-41.18,燃油车,35.58,0
长安CS55PLUS,上海,15,SUV,9.29-12.59,燃油车,10.94,0
乐道L60,潍坊,24,SUV,20.69-25.59,燃油车,23.14,0
途观L,济南,247,SUV,18.68-26.68,燃油车,22.68,0
零跑C16,杭州,226,SUV,15.18-18.98,新能源,17.08,1
卡罗拉锐放,宝鸡,15,SUV,12.98-18.48,燃油车,15.73,0
卡罗拉,呼和浩特,13,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
钇为3,聊城,16,小型车,6.99-14.99,燃油车,10.99,0
问界M7,天津,42,SUV,24.98-32.98,新能源,28.979999999999997,1
途岳,南阳,72,SUV,12.59-21.66,燃油车,17.125,0
瑞虎8 PRO,定西,28,SUV,11.99-16.69,燃油车,14.34,0
熊猫,临汾,99,微型车,2.99-5.39,燃油车,4.1899999999999995,0
揽胜,青岛,53,SUV,141.20-379.50,燃油车,260.35,0
雷克萨斯RX,福州,33,SUV,38.00-61.90,燃油车,49.95,0
魏牌 高山,宁波,16,MPV,30.98-40.58,燃油车,35.78,0
海豹06新能源,荆州,37,中型车,9.98-13.98,新能源,11.98,1
五菱之光,昆明,34,MPV,3.51-3.79,燃油车,3.65,0
小鹏MONA M03,威海,12,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
极狐 阿尔法T5(ARCFOX αT5),阜阳,11,SUV,11.98-19.98,燃油车,15.98,0
秦L,贺州,30,中型车,9.98-15.38,新能源,12.68,1
星瑞,六盘水,21,紧凑型车,9.97-14.57,燃油车,12.27,0
五菱佳辰,大连,11,MPV,6.88-11.58,燃油车,9.23,0
传祺GS3,大连,29,SUV,8.58-11.18,燃油车,9.879999999999999,0
海狮05 EV,江门,60,SUV,11.78-13.78,新能源,12.78,1
宝马X1,镇江,34,SUV,28.89-34.99,燃油车,31.94,0
卡罗拉,绍兴,16,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
迈腾,淮安,91,中型车,17.49-24.69,燃油车,21.09,0
领克08 EM-P,北京,50,SUV,18.58-24.88,燃油车,21.729999999999997,0
捷途旅行者,沈阳,68,SUV,13.99-23.99,燃油车,18.99,0
宝马5系,海口,50,中大型车,43.99-52.59,燃油车,48.290000000000006,0
宝马4系,金华,22,中型车,37.99-57.69,燃油车,47.84,0
钛3,镇江,19,SUV,13.38-19.38,燃油车,16.38,0
哈弗枭龙MAX,中山,12,SUV,13.18-17.98,燃油车,15.58,0
埃尔法,汕头,37,MPV,89.90-92.90,燃油车,91.4,0
雷克萨斯NX,绍兴,21,SUV,31.88-54.88,燃油车,43.38,0
宝马X5,廊坊,23,SUV,61.50-83.00,燃油车,72.25,0
纳米01,黄冈,20,小型车,6.58-13.98,燃油车,10.280000000000001,0
海狮05 EV,呼和浩特,58,SUV,11.78-13.78,新能源,12.78,1
速腾,萍乡,16,紧凑型车,12.79-17.29,燃油车,15.04,0
轩逸,松原,45,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
红旗H5,重庆,153,中型车,15.98-22.58,燃油车,19.28,0
铂智3X,沈阳,54,SUV,10.98-15.98,燃油车,13.48,0
君越,广州,61,中型车,17.99-23.99,燃油车,20.99,0
哈弗猛龙新能源,绵阳,13,SUV,16.58-19.28,新能源,17.93,1
格瑞维亚,深圳,85,MPV,29.98-41.68,燃油车,35.83,0
汉,抚州,15,中大型车,16.58-25.98,新能源,21.28,1
宝马X5,上海,254,SUV,61.50-83.00,燃油车,72.25,0
欧萌达,佛山,13,SUV,10.99-12.99,燃油车,11.99,0
秦L,大连,129,中型车,9.98-15.38,新能源,12.68,1
唐L,阳江,13,SUV,22.98-28.98,新能源,25.98,1
雅阁,宝鸡,12,中型车,17.98-23.88,燃油车,20.93,0
沃尔沃S60,贵阳,11,中型车,30.69-38.49,燃油车,34.59,0
坦克300,许昌,12,SUV,19.98-33.00,燃油车,26.490000000000002,0
魏牌 高山,保定,126,MPV,30.98-40.58,燃油车,35.78,0
传祺GS3,聊城,19,SUV,8.58-11.18,燃油车,9.879999999999999,0
瑞虎8 PLUS,邵阳,14,SUV,10.99-16.29,燃油车,13.64,0
深蓝S05,资阳,12,SUV,11.99-14.99,新能源,13.49,1
海豹07 DM-i,银川,37,中型车,13.98-19.58,新能源,16.78,1
小米SU7,宁波,613,中大型车,21.59-29.99,新能源,25.79,1
元PLUS,景德镇,17,SUV,11.58-14.78,新能源,13.18,1
五菱星光S,南阳,13,SUV,9.98-12.98,燃油车,11.48,0
缤越,鹤岗,23,SUV,6.68-10.38,燃油车,8.530000000000001,0
奥迪A6L,绍兴,28,中大型车,42.79-65.68,燃油车,54.235,0
捷途旅行者,嘉兴,31,SUV,13.99-23.99,燃油车,18.99,0
长安CS75 PLUS,阜阳,29,SUV,11.39-14.99,燃油车,13.190000000000001,0
岚图梦想家,哈尔滨,35,MPV,32.99-63.99,新能源,48.49,1
海豹06GT,芜湖,18,中型车,13.68-18.68,新能源,16.18,1
瑞虎9,安庆,13,SUV,15.29-20.99,燃油车,18.14,0
秦L,德州,57,中型车,9.98-15.38,新能源,12.68,1
领克900,岳阳,12,SUV,30.99-41.69,燃油车,36.339999999999996,0
领克06,重庆,77,SUV,10.86-13.26,燃油车,12.059999999999999,0
锐界,常州,11,SUV,22.68-30.98,燃油车,26.83,0
思域,嘉兴,36,紧凑型车,12.99-18.79,燃油车,15.89,0
理想L8,南京,155,SUV,32.18-37.98,新能源,35.08,1
传祺E8,重庆,14,MPV,16.68-23.58,燃油车,20.13,0
昂科威S,威海,12,SUV,19.69-22.29,燃油车,20.990000000000002,0
途观L,聊城,84,SUV,18.68-26.68,燃油车,22.68,0
瑞虎8L,郑州,34,SUV,12.99-17.49,燃油车,15.239999999999998,0
别克E5,日照,12,SUV,16.99-21.19,燃油车,19.09,0
奔驰E级新能源,东莞,12,中大型车,52.19-53.86,新能源,53.025,1
长安CS55PLUS,运城,14,SUV,9.29-12.59,燃油车,10.94,0
AION UT,淮安,11,小型车,6.98-10.18,新能源,8.58,1
汉L,连云港,11,中大型车,20.98-27.98,新能源,24.48,1
长安CS75 PLUS,襄阳,42,SUV,11.39-14.99,燃油车,13.190000000000001,0
卡罗拉锐放,昆明,141,SUV,12.98-18.48,燃油车,15.73,0
宏光MINIEV,商洛,16,微型车,3.28-9.99,新能源,6.635,1
捷途自由者,清远,15,SUV,12.49-15.49,燃油车,13.99,0
银河星舰7 EM-i,威海,11,SUV,10.38-13.68,燃油车,12.030000000000001,0
五菱缤果PLUS,淄博,16,SUV,7.58-9.88,燃油车,8.73,0
五菱缤果PLUS,百色,32,SUV,7.58-9.88,燃油车,8.73,0
锐界,金华,17,SUV,22.68-30.98,燃油车,26.83,0
极狐考拉,唐山,13,MPV,11.98-16.98,燃油车,14.48,0
本田CR-V,大同,100,SUV,18.59-26.39,燃油车,22.490000000000002,0
探岳,大连,227,SUV,19.89-25.99,燃油车,22.939999999999998,0
捷途旅行者,绥化,18,SUV,13.99-23.99,燃油车,18.99,0
昂科威Plus,淮安,38,SUV,22.99-25.99,燃油车,24.49,0
汉,庆阳,12,中大型车,16.58-25.98,新能源,21.28,1
坦克400新能源,汕头,13,SUV,27.98-28.98,新能源,28.48,1
奥迪Q5L,鞍山,15,SUV,34.98-48.88,燃油车,41.93,0
逸动,亳州,22,紧凑型车,7.29-9.69,燃油车,8.49,0
长安Lumin,沈阳,30,微型车,3.79-6.59,燃油车,5.1899999999999995,0
宋Pro新能源,阳泉,33,SUV,10.28-14.28,新能源,12.28,1
奥迪Q4 e-tron,成都,28,SUV,28.99-36.71,燃油车,32.85,0
极狐考拉,济南,15,MPV,11.98-16.98,燃油车,14.48,0
路虎卫士,沈阳,31,SUV,68.80-171.60,燃油车,120.19999999999999,0
领克900,信阳,12,SUV,30.99-41.69,燃油车,36.339999999999996,0
秦PLUS,泰安,148,紧凑型车,7.98-17.98,新能源,12.98,1
福瑞迪,阿勒泰,16,紧凑型车,7.88-10.28,燃油车,9.08,0
奇瑞iCAR V23,枣庄,24,SUV,9.98-14.98,燃油车,12.48,0
宝马3系,蚌埠,33,中型车,29.99-39.99,燃油车,34.99,0
奥迪A3,大连,19,紧凑型车,16.59-25.13,燃油车,20.86,0
汉,天津,178,中大型车,16.58-25.98,新能源,21.28,1
捷途山海T2,洛阳,14,SUV,17.99-23.99,燃油车,20.99,0
哈弗枭龙MAX,柳州,12,SUV,13.18-17.98,燃油车,15.58,0
卡罗拉锐放,烟台,104,SUV,12.98-18.48,燃油车,15.73,0
奇骏,长沙,32,SUV,17.99-26.29,燃油车,22.14,0
海豚,菏泽,265,小型车,9.98-12.98,新能源,11.48,1
深蓝S05,平顶山,21,SUV,11.99-14.99,新能源,13.49,1
荣威D6,北京,34,紧凑型车,9.98-13.98,燃油车,11.98,0
熊猫,威海,58,微型车,2.99-5.39,燃油车,4.1899999999999995,0
零跑C10,兰州,14,SUV,12.28-16.88,新能源,14.579999999999998,1
宋Pro新能源,白城,20,SUV,10.28-14.28,新能源,12.28,1
朗逸,衡阳,72,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
逍客,桂林,20,SUV,12.59-17.49,燃油车,15.04,0
星越L,泰安,47,SUV,13.72-17.97,燃油车,15.844999999999999,0
奔驰GLC,自贡,13,SUV,42.78-53.13,燃油车,47.955,0
格瑞维亚,芜湖,13,MPV,29.98-41.68,燃油车,35.83,0
小鹏MONA M03,蚌埠,40,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
奥迪Q3,无锡,51,SUV,25.18-29.68,燃油车,27.43,0
哈弗H6,淮北,11,SUV,9.89-14.69,燃油车,12.29,0
海狮05 EV,铜仁,17,SUV,11.78-13.78,新能源,12.78,1
奇瑞舒享家,沈阳,13,SUV,12.99-17.59,燃油车,15.29,0
雅阁,洛阳,25,中型车,17.98-23.88,燃油车,20.93,0
艾瑞泽8,永州,24,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
福特烈马,杭州,25,SUV,29.98-49.88,燃油车,39.93,0
宝马5系,洛阳,31,中大型车,43.99-52.59,燃油车,48.290000000000006,0
标致408,贵阳,43,紧凑型车,10.57-12.57,燃油车,11.57,0
银河L6,驻马店,14,紧凑型车,8.28-14.98,燃油车,11.629999999999999,0
唐新能源,桂林,17,SUV,17.98-26.98,新能源,22.48,1
皓影,江门,82,SUV,18.59-26.39,燃油车,22.490000000000002,0
星纪元 ES,苏州,21,中大型车,15.28-29.99,新能源,22.634999999999998,1
五菱宏光新能源,唐山,12,MPV,6.88-7.38,新能源,7.13,1
Model Y,深圳,983,SUV,26.35-31.35,新能源,28.85,1
元UP,聊城,63,SUV,9.68-11.98,新能源,10.83,1
零跑C11,上海,142,SUV,14.88-20.98,新能源,17.93,1
阿维塔06,桂林,13,中型车,20.99-27.99,新能源,24.49,1
宋PLUS新能源,大庆,48,SUV,13.58-18.08,新能源,15.829999999999998,1
领克03,洛阳,17,紧凑型车,12.78-42.03,燃油车,27.405,0
荣威i5,德阳,75,紧凑型车,6.89-9.09,燃油车,7.99,0
哈弗H6,朝阳,16,SUV,9.89-14.69,燃油车,12.29,0
小鹏G6,长春,18,SUV,17.68-27.69,新能源,22.685000000000002,1
长安CS55PLUS,绵阳,14,SUV,9.29-12.59,燃油车,10.94,0
星愿,淮安,94,小型车,6.88-9.78,燃油车,8.33,0
银河星舰7 EM-i,上海,46,SUV,10.38-13.68,燃油车,12.030000000000001,0
卡罗拉锐放,西双版纳,21,SUV,12.98-18.48,燃油车,15.73,0
大众ID.3,昆明,37,紧凑型车,12.99-15.59,燃油车,14.29,0
北京BJ30,武汉,46,SUV,9.99-13.69,燃油车,11.84,0
奔腾B70,苏州,12,中型车,9.88-14.49,燃油车,12.185,0
秦L,黄冈,76,中型车,9.98-15.38,新能源,12.68,1
马自达CX-5,金华,13,SUV,12.58-19.78,燃油车,16.18,0
元PLUS,临汾,69,SUV,11.58-14.78,新能源,13.18,1
朗逸,阜新,29,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
秦L,西安,568,中型车,9.98-15.38,新能源,12.68,1
EVOS,上海,19,SUV,19.98-25.98,新能源,22.98,1
RAV4荣放,儋州,13,SUV,16.98-26.38,燃油车,21.68,0
长安睿行M60,绵阳,20,MPV,5.49-6.62,燃油车,6.055,0
昂科威Plus,日照,22,SUV,22.99-25.99,燃油车,24.49,0
红旗HS5,呼伦贝尔,11,SUV,18.38-24.98,燃油车,21.68,0
路虎卫士,武汉,16,SUV,68.80-171.60,燃油车,120.19999999999999,0
红旗HS5,邯郸,47,SUV,18.38-24.98,燃油车,21.68,0
艾瑞泽8,九江,35,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
途岳,郑州,204,SUV,12.59-21.66,燃油车,17.125,0
eπ007,大连,24,中大型车,11.59-19.96,燃油车,15.775,0
凯美瑞,揭阳,44,中型车,17.18-25.98,燃油车,21.58,0
瑞虎8 PLUS,阜阳,43,SUV,10.99-16.29,燃油车,13.64,0
智界R7,亳州,15,SUV,24.98-33.98,新能源,29.479999999999997,1
驱逐舰05,哈尔滨,12,紧凑型车,7.98-13.68,燃油车,10.83,0
逍客,沈阳,157,SUV,12.59-17.49,燃油车,15.04,0
逸动,青岛,115,紧凑型车,7.29-9.69,燃油车,8.49,0
瑞虎8 PRO,九江,14,SUV,11.99-16.69,燃油车,14.34,0
日产N7,唐山,21,中大型车,11.99-14.99,燃油车,13.49,0
海豹06新能源,恩施,14,中型车,9.98-13.98,新能源,11.98,1
深蓝L07,郑州,52,中型车,15.19-17.39,新能源,16.29,1
RAV4荣放,南昌,81,SUV,16.98-26.38,燃油车,21.68,0
逍客,哈密,11,SUV,12.59-17.49,燃油车,15.04,0
菱智,上海,55,MPV,5.99-9.99,燃油车,7.99,0
欧萌达,南昌,16,SUV,10.99-12.99,燃油车,11.99,0
奇瑞iCAR 03,惠州,13,SUV,10.98-16.98,燃油车,13.98,0
途昂,上海,124,SUV,24.90-38.90,燃油车,31.9,0
红旗HS3 PHEV,阜阳,12,SUV,15.98-15.98,新能源,15.98,1
途岳,东莞,39,SUV,12.59-21.66,燃油车,17.125,0
小蚂蚁,邢台,30,微型车,5.49-7.69,燃油车,6.59,0
宝马X5,北京,200,SUV,61.50-83.00,燃油车,72.25,0
五菱之光,天津,23,MPV,3.51-3.79,燃油车,3.65,0
英仕派,中山,114,中型车,18.28-22.98,燃油车,20.630000000000003,0
RAV4荣放,长春,294,SUV,16.98-26.38,燃油车,21.68,0
星瑞,台州,74,紧凑型车,9.97-14.57,燃油车,12.27,0
蔚来ET5,太原,14,中型车,29.80-35.60,新能源,32.7,1
秦L,盐城,45,中型车,9.98-15.38,新能源,12.68,1
宝马3系,莆田,37,中型车,29.99-39.99,燃油车,34.99,0
智界R7,海口,29,SUV,24.98-33.98,新能源,29.479999999999997,1
Model 3,银川,29,中型车,23.19-33.95,新能源,28.57,1
长安UNI-Z新能源,临沂,17,SUV,11.79-13.39,新能源,12.59,1
宋L DM-i,宝鸡,39,SUV,13.58-17.58,新能源,15.579999999999998,1
宝骏悦也Plus,沧州,14,SUV,7.68-10.58,燃油车,9.129999999999999,0
熊猫,晋中,92,微型车,2.99-5.39,燃油车,4.1899999999999995,0
阿维塔06,惠州,83,中型车,20.99-27.99,新能源,24.49,1
奔驰C级,岳阳,21,中型车,33.48-38.06,燃油车,35.769999999999996,0
Model 3,济南,256,中型车,23.19-33.95,新能源,28.57,1
领克08 EM-P,银川,102,SUV,18.58-24.88,燃油车,21.729999999999997,0
长安CS75 PLUS,葫芦岛,40,SUV,11.39-14.99,燃油车,13.190000000000001,0
smart精灵#1,呼和浩特,11,SUV,15.49-28.49,燃油车,21.99,0
哈弗大狗,烟台,22,SUV,11.99-16.79,燃油车,14.39,0
锋兰达,双鸭山,12,SUV,12.58-18.48,燃油车,15.530000000000001,0
长安UNI-V,徐州,47,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
五菱星驰,威海,11,SUV,5.68-8.68,燃油车,7.18,0
长安CS75,齐齐哈尔,19,SUV,10.29-11.99,燃油车,11.14,0
速腾,荆州,21,紧凑型车,12.79-17.29,燃油车,15.04,0
T-ROC探歌,菏泽,20,SUV,15.89-17.87,燃油车,16.880000000000003,0
小海狮X30,昆明,51,MPV,3.49-5.19,燃油车,4.34,0
探岳,齐齐哈尔,73,SUV,19.89-25.99,燃油车,22.939999999999998,0
捷达VS5,济南,51,SUV,8.79-12.19,燃油车,10.489999999999998,0
帝豪,周口,25,紧凑型车,6.29-14.98,燃油车,10.635,0
宝来,佛山,19,紧凑型车,11.29-14.39,燃油车,12.84,0
威兰达,兰州,65,SUV,17.38-26.48,燃油车,21.93,0
魏牌 高山,福州,20,MPV,30.98-40.58,燃油车,35.78,0
银河星舰7 EM-i,广州,153,SUV,10.38-13.68,燃油车,12.030000000000001,0
长安UNI-V 智电iDD,北京,18,紧凑型车,11.49-15.99,燃油车,13.74,0
星瑞,鹤壁,14,紧凑型车,9.97-14.57,燃油车,12.27,0
小鹏G9,遵义,17,SUV,24.88-35.99,新能源,30.435000000000002,1
豹5,沈阳,68,SUV,23.98-32.98,燃油车,28.479999999999997,0
星越L,温州,105,SUV,13.72-17.97,燃油车,15.844999999999999,0
帝豪,铜陵,17,紧凑型车,6.29-14.98,燃油车,10.635,0
长安UNI-V,南通,22,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
深蓝L07,温州,20,中型车,15.19-17.39,新能源,16.29,1
五菱宏光S,安阳,18,MPV,0.00-0.00,燃油车,0.0,0
小鹏X9,南昌,19,MPV,35.98-41.98,新能源,38.98,1
宋Pro新能源,晋中,27,SUV,10.28-14.28,新能源,12.28,1
坦克700新能源,呼和浩特,18,SUV,42.80-70.00,新能源,56.4,1
威朗,东莞,12,紧凑型车,12.89-15.89,燃油车,14.39,0
蒙迪欧,福州,24,中型车,14.98-22.98,燃油车,18.98,0
威兰达,邯郸,26,SUV,17.38-26.48,燃油车,21.93,0
海豚,咸宁,24,小型车,9.98-12.98,新能源,11.48,1
领克08 EM-P,西安,185,SUV,18.58-24.88,燃油车,21.729999999999997,0
揽胜,上海,61,SUV,141.20-379.50,燃油车,260.35,0
星越L,大理,24,SUV,13.72-17.97,燃油车,15.844999999999999,0
