车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
奥迪A4L,珠海,21,中型车,28.98-40.08,燃油车,34.53,0
别克GL8新能源,合肥,86,MPV,24.99-41.99,新能源,33.49,1
极狐 阿尔法T5(ARCFOX αT5),佛山,20,SUV,11.98-19.98,燃油车,15.98,0
凯迪拉克XT5,乌鲁木齐,75,SUV,35.27-45.99,燃油车,40.63,0
凯迪拉克XT5,株洲,11,SUV,35.27-45.99,燃油车,40.63,0
岚图知音,北京,41,SUV,19.69-23.69,新能源,21.69,1
亚洲龙,儋州,12,中型车,17.88-27.98,燃油车,22.93,0
宋Pro新能源,三门峡,22,SUV,10.28-14.28,新能源,12.28,1
格瑞维亚,重庆,22,MPV,29.98-41.68,燃油车,35.83,0
标致408,银川,14,紧凑型车,10.57-12.57,燃油车,11.57,0
宝马5系,漳州,32,中大型车,43.99-52.59,燃油车,48.290000000000006,0
哈弗H6,洛阳,19,SUV,9.89-14.69,燃油车,12.29,0
星愿,黄山,75,小型车,6.88-9.78,燃油车,8.33,0
奔驰E级,镇江,32,中大型车,44.72-59.98,燃油车,52.349999999999994,0
凌渡,廊坊,14,紧凑型车,14.39-19.09,燃油车,16.740000000000002,0
宋L DM-i,太原,150,SUV,13.58-17.58,新能源,15.579999999999998,1
长安Lumin,大理,23,微型车,3.79-6.59,燃油车,5.1899999999999995,0
君越,潍坊,98,中型车,17.99-23.99,燃油车,20.99,0
奥迪A4L,南昌,62,中型车,28.98-40.08,燃油车,34.53,0
卡罗拉,银川,13,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
瑶光C-DM,重庆,11,SUV,15.99-21.99,新能源,18.99,1
奥迪Q5L,扬州,67,SUV,34.98-48.88,燃油车,41.93,0
奔驰S级,南京,14,大型车,96.26-204.26,燃油车,150.26,0
秦L,鹤壁,25,中型车,9.98-15.38,新能源,12.68,1
长安欧尚X5 PLUS,银川,33,SUV,9.19-11.49,燃油车,10.34,0
秦PLUS,扬州,63,紧凑型车,7.98-17.98,新能源,12.98,1
奥迪A4L,德阳,12,中型车,28.98-40.08,燃油车,34.53,0
海鸥,淮安,133,小型车,6.98-8.58,新能源,7.78,1
哈弗H6,武汉,108,SUV,9.89-14.69,燃油车,12.29,0
北京BJ30,松原,25,SUV,9.99-13.69,燃油车,11.84,0
领克07 EM-P,郑州,39,中型车,16.98-18.98,燃油车,17.98,0
长安CS75 PLUS,永州,11,SUV,11.39-14.99,燃油车,13.190000000000001,0
索纳塔,武汉,21,中型车,13.98-20.58,燃油车,17.28,0
宋Pro新能源,驻马店,36,SUV,10.28-14.28,新能源,12.28,1
极狐 阿尔法T5(ARCFOX αT5),杭州,29,SUV,11.98-19.98,燃油车,15.98,0
赛那SIENNA,温州,22,MPV,29.98-41.18,燃油车,35.58,0
荣威i5,德州,43,紧凑型车,6.89-9.09,燃油车,7.99,0
途岳,锦州,11,SUV,12.59-21.66,燃油车,17.125,0
海豹06GT,大连,11,中型车,13.68-18.68,新能源,16.18,1
元UP,丽水,38,SUV,9.68-11.98,新能源,10.83,1
速腾,南平,12,紧凑型车,12.79-17.29,燃油车,15.04,0
普拉多,包头,19,SUV,44.98-55.98,燃油车,50.48,0
212 T01,保定,14,SUV,13.99-18.88,燃油车,16.435,0
深蓝S07,洛阳,43,SUV,14.99-20.79,新能源,17.89,1
卡罗拉锐放,新乡,36,SUV,12.98-18.48,燃油车,15.73,0
锋兰达,济南,83,SUV,12.58-18.48,燃油车,15.530000000000001,0
别克GL8新能源,深圳,86,MPV,24.99-41.99,新能源,33.49,1
奥迪A4L,宿迁,41,中型车,28.98-40.08,燃油车,34.53,0
海豹06新能源,自贡,26,中型车,9.98-13.98,新能源,11.98,1
秦L,安庆,52,中型车,9.98-15.38,新能源,12.68,1
传祺GS4,通化,17,SUV,11.58-12.68,燃油车,12.129999999999999,0
零跑C16,郑州,143,SUV,15.18-18.98,新能源,17.08,1
索纳塔,杭州,37,中型车,13.98-20.58,燃油车,17.28,0
格瑞维亚,保定,28,MPV,29.98-41.68,燃油车,35.83,0
昊铂HL,海口,11,SUV,26.98-31.98,燃油车,29.48,0
银河E5,无锡,99,SUV,11.28-14.88,燃油车,13.08,0
哈弗猛龙新能源,乌海,26,SUV,16.58-19.28,新能源,17.93,1
五菱缤果PLUS,德州,14,SUV,7.58-9.88,燃油车,8.73,0
格瑞维亚,日照,25,MPV,29.98-41.68,燃油车,35.83,0
极氪001,常州,19,中大型车,25.90-32.90,新能源,29.4,1
蒙迪欧,宁波,52,中型车,14.98-22.98,燃油车,18.98,0
长安欧尚X5 PLUS,徐州,14,SUV,9.19-11.49,燃油车,10.34,0
帕萨特,乐山,13,中型车,16.45-23.99,燃油车,20.22,0
哈弗H6,四平,28,SUV,9.89-14.69,燃油车,12.29,0
海豹06新能源,铁岭,33,中型车,9.98-13.98,新能源,11.98,1
锐界,上海,64,SUV,22.68-30.98,燃油车,26.83,0
雷凌,大连,23,紧凑型车,11.38-14.88,燃油车,13.13,0
