cluster,级别,proportion
0,SUV,0.52894438138479
0,紧凑型车,0.14982973893303064
0,中型车,0.13195232690124858
1,SUV,0.5396341463414634
1,中型车,0.13380758807588075
1,紧凑型车,0.08028455284552846
