cluster,城市,proportion
0,成都,0.014897843359818388
0,上海,0.014330306469920544
0,北京,0.013904653802497162
1,北京,0.012872628726287264
1,南京,0.012195121951219513
1,天津,0.012195121951219513
1,西安,0.011856368563685637
