x,y,cluster
0.1443546930645901,0.10016455251708332,0
-0.3046184025571622,-0.134067078451857,1
0.1674999584218777,0.16525972606917877,0
0.14918674282427397,0.11298639394252745,0
0.16658566841399633,0.16435673183299823,0
-0.30537627754773267,-0.13550846405555475,1
-0.3086002789021281,-0.1363281709331503,1
0.13612882453232503,0.17297037772137305,0
-0.30463206689776673,-0.13487666265736112,1
0.09051986020538468,-0.1578246167550591,0
0.09344851125028407,-0.15941556108401006,0
0.09140673669140997,-0.15317905226922848,0
0.13617482584052126,0.17511870875896585,0
0.0912577973784959,-0.15391996046836826,0
0.151246545464353,0.1158581136133047,0
-0.2700623576860099,0.23765708568880772,1
0.14394589465561086,0.11638786854692072,0
0.13699091770004107,0.17426580404543415,0
-0.32369886915073676,0.17460116298276374,1
0.14918552846031594,0.11427269259288717,0
-0.30406204244849167,-0.13752942061495943,1
-0.306538962000089,-0.1349357825441201,1
0.13963171925523135,0.11195990215533119,0
0.0893557533758175,-0.15272394800242722,0
0.14369801832412288,0.11491378592954582,0
0.16643921418651672,0.16594337413616705,0
0.16559986421125744,0.16349374764558022,0
0.09193348570087936,-0.15628794620661543,0
0.09327009408797751,-0.16055699437848034,0
0.13439796012942914,0.17144509114547377,0
0.13546214386360322,0.17325484692352514,0
0.13498866708580565,0.17063661044746956,0
-0.27211257825645857,0.23918779335877552,1
-0.3111985014587147,0.1634775764698731,1
0.16423477928732566,0.16297016553579363,0
0.0908435397958372,-0.15326878767127144,0
0.09385242747537016,-0.15836510779037877,0
0.08856945604216555,-0.15413623822414646,0
0.09259142903741738,-0.15840788553746438,0
0.13676186030661297,0.17374994596443397,0
0.14811360091440062,0.11640146109924768,0
-0.31563299641942427,0.17074066516035072,1
0.16520152954795245,0.16224050097306678,0
0.09156842582871257,-0.15339636324750833,0
0.16699955601946967,0.16544068046948374,0
0.14836537064402228,0.11316996524357784,0
0.09167272799694832,-0.15490491994809413,0
-0.2961309053159275,0.18132523211545612,1
